Country,Good,Bad
Products,MacBook Air~iPad Pro~Surface Pro,##
Offers,1050::MacBook Pro::https://t.co/ndj8s25oEI~200::Macbook on::https://t.co/TVdNXuQzdm,##
US,14,1
